artista_id;fecha;popularidad;seguidores
6B72wjgAkhvxTVCL6xS6mC;04-24-2020;59;112743
5lXfVoQxVgC5fpjkVqvNYn;04-24-2020;59;44870
6RHKEd9dpzQ4c09x8Zdaxu;04-24-2020;66;90974
4EzkuveR9pLvDVFNx6foYD;04-24-2020;78;2829541
2jnIB6XdLvnJUeNTy5A0J2;04-24-2020;80;2047141
7wLyGTO9vUS7ndlq4BvBGe;04-24-2020;61;13269
3v9wPA58IVrX2dg6AjSPgi;04-24-2020;61;25452
0ZED1XzwlLHW4ZaG4lOT6m;04-24-2020;85;2765405
2wUjUUtkb5lvLKcGKsKqsR;04-24-2020;83;7052211
0B3N0ZINFWvizfa8bKiz4v;04-24-2020;75;543873
45dkTj5sMRSjrmBSBeiHym;04-24-2020;76;472207
5ZsFI1h6hIdQRw2ti0hz81;04-24-2020;83;11343135
4T2k9bgIoC8bbqjqiEl9vZ;04-24-2020;68;146476
2Q9c6ETFOkDDTy53U7DIgr;04-24-2020;62;14153
1rSGNXhhYuWoq9BEz5DZGO;04-24-2020;65;141682
3PlRvQnVE3XAbtHUNc4nic;04-24-2020;72;36921
4Q6nIcaBED8qUel8bBx6Cr;04-24-2020;79;728999
7okSU80WTrn4LXlyXYbX3P;04-24-2020;70;35708
2o5jDhtHVPhrJdv3cEQ99Z;04-24-2020;83;4973623
2QMCcKIPHnjQaPPgoEst88;04-24-2020;68;85471
6cEuCEZu7PAE9ZSzLLc2oQ;04-24-2020;84;1997440
7CajNmpbOovFoOoasH2HaY;04-24-2020;87;19925724
6F3vLfyutkUhpM50G84eMt;04-24-2020;69;17716
3XINWZaloea97SIRiyTJxX;04-24-2020;66;228906
5ChF3i92IPZHduM7jN3dpg;04-24-2020;72;1892564
4ofCBoyEiGSePFAG500xev;04-24-2020;78;55685
1Cs0zKBU1kc0i8ypK3B9ai;04-24-2020;88;21229631
7nDsS0l5ZAzMedVRKPP8F1;04-24-2020;74;942441
4WFtYn5RyU8VGPpPyW9Pxw;04-24-2020;64;38216
64KEffDW9EtZ1y2vBYgq8T;04-24-2020;87;23198961
56oDRnqbIiwx4mymNEv7dS;04-24-2020;82;2542524
4iHNK0tOyZPYnBU7nGAgpQ;04-24-2020;79;5545111
1CoZyIx7UvdxT5c8UkMzHd;04-24-2020;77;1405630
5hW4L92KnC6dX9t7tYM4Ve;04-24-2020;70;752184
1DFr97A9HnbV3SKTJFu62M;04-24-2020;69;2175744
07XSN3sPlIlB2L2XNcTwJw;04-24-2020;74;4544153
0cc6vw3VN8YlIcvr1v7tBL;04-24-2020;74;2509566
2d0hyoQ5ynDBnkvAbJKORj;04-24-2020;75;3440112
5M52tdBnJaKSvOpJGz8mfZ;04-24-2020;75;4399132
4CYeVo5iZbtYGBN4Isc3n6;04-24-2020;65;1292153
3qm84nBOXUEQ2vnTfUTTFC;04-24-2020;82;16414815
711MCceyCBcFnzjGY4Q7Un;04-24-2020;84;14904603
568ZhdwyaiCyOGJRtNYhWf;04-24-2020;72;3089850
2ye2Wgw4gimLv2eAKyk1NB;04-24-2020;84;13773425
36QJpDe2go2KgaRleHCDTp;04-24-2020;81;8894603
6mdiAmATAx73kdxrNrnlao;04-24-2020;76;5272351
1dLWg6m8RRhizsdqJbhyj3;04-24-2020;64;901425
6H1RjVyNruCmrBEWRbD0VZ;04-24-2020;72;2589450
6ZLTlhejhndI4Rh53vYhrY;04-24-2020;78;2829272
6olE6TJLqED3rqDCT0FyPh;04-24-2020;82;10624314
7b85ve82Sh36a3UAx74wut;04-24-2020;65;1309175
5ZYOlPpI9FZu2uIPkTB0UA;04-24-2020;66;18937
4rTv3Ejc7hKMtmoBOK1B4T;04-24-2020;82;842508
4ETSs924pXMzjIeD6E9b4u;04-24-2020;84;360298
5zctI4wO9XSKS8XwcnqEHk;04-24-2020;87;1920994
6bmlMHgSheBauioMgKv2tn;04-24-2020;86;244237
5j21TGkrNEAJe3gG9VlS34;04-24-2020;76;675420
1VmIfQToGVtxmv2w3QtyVY;04-24-2020;67;42060
1aS5tqEs9ci5P9KD9tZWa6;04-24-2020;80;1271162
7oWrEQO1d3klp0Qrfh7a5h;04-24-2020;64;30631
6Rmg5JiRphFMlhkwGNl9Fu;04-24-2020;65;11857
1Xylc3o4UrD53lo9CvFvVg;04-24-2020;83;7065204
4hXT6A14n901v8DU5Of337;04-24-2020;68;95833
0vWslArrZa7drINEUobJZl;04-24-2020;43;21097
0mKLP9jGn5eAZDlaq7UYQY;04-24-2020;40;4031
1Oa2BGrI6B0GvKabXDU9Se;04-24-2020;26;1081
6jn7W8NuX94FWZyeGlyCaJ;04-24-2020;55;32494
5JhaDdCfVwK1YJciYM7s6i;04-24-2020;29;3700
35VpsbV6V2NdfTeNZEbKfc;04-24-2020;53;20281
32aUoW94mJ7xTJI7fG0V1G;04-24-2020;64;184889
4BxCuXFJrSWGi1KHcVqaU4;04-24-2020;76;1867391
16oZKvXb6WkQlVAjwo2Wbg;04-24-2020;80;3724032
5mFKYdmiYwNJTDtSzgFyQx;04-24-2020;59;99274
1VbWUxZTRNY2gw3qZ1tg9W;04-24-2020;65;618802
20JZFwl6HVl6yg8a4H3ZqK;04-24-2020;85;9314966
5GtMEZEeFFsuHY8ad4kOxv;04-24-2020;67;1035960
6kACVPfCOnqzgfEF5ryl0x;04-24-2020;79;3907995
7JFtD8KnbAADBBDleIMuH7;04-24-2020;55;67577
4M6Z1wubeKtwPqbjJygTOc;04-24-2020;58;394646
3LpLGlgRS1IKPPwElnpW35;04-24-2020;68;1203596
3e7awlrlDSwF3iM0WBjGMp;04-23-2020;83;7330270
26VFTg2z8YR0cCuwLzESi2;04-23-2020;90;10321809
1uNFoZAHBGtllmzznpCI3s;04-23-2020;95;34445808
7qG3b048QCHVRO5Pv1T5lw;04-23-2020;79;9286300
5YGY8feqx7naU7z4HrwZM6;04-23-2020;83;11463005
6vWDO969PvNqNYHIOW5v0m;04-23-2020;88;22635529
0EmeFodog0BfCgMzAIvKQp;04-23-2020;86;18652108
60rpJ9SgigSd16DOAG7GSa;04-23-2020;75;157855
5KNNVgR6LBIABRIomyCwKJ;04-23-2020;77;595919
2jku7tDXc6XoB6MO2hFuqg;04-23-2020;88;2911185
3DiDSECUqqY1AuBP8qtaIa;04-23-2020;82;7453985
1Xyo4u8uXC1ZmMpatF05PJ;04-23-2020;98;20145445
4O15NlyKLIASxsJ0PrXPfz;04-23-2020;95;8505053
21E3waRsmPlU7jZsS13rcj;04-23-2020;80;5218309
6zFYqv1mOsgBRQbae3JJ9e;04-23-2020;79;2561746
3Y3xIwWyq5wnNHPp5gPjOW;04-23-2020;70;524761
3Z02hBLubJxuFJfhacLSDc;04-23-2020;77;1574524
2BTZIqw0ntH9MvilQ3ewNY;04-23-2020;72;1232928
1dfeR4HaWDbWqFHLkxsg1d;04-23-2020;89;25266655
72OaDtakiy6yFqkt4TsiFt;04-23-2020;72;1531157
3PhoLpVuITZKcymswpck5b;04-23-2020;84;4964927
7xkAwz0bQTGDSbkofyQt3U;04-23-2020;64;412266
58lV9VcRSjABbAbfWS6skp;04-23-2020;80;7691415
0C8ZW7ezQVs4URX5aX7Kqx;04-23-2020;89;20374289
6L1XC7NrmgWRlwAeLJvVtA;04-23-2020;71;26712
6KImCVD70vtIoJWnq6nGn3;04-23-2020;90;6899139
06HL4z0CvFAxyc27GXpf02;04-23-2020;92;28571876
